Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Lao PDR,LAO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,68.7300033569336,..,..,..,72.6999969482422,..,..,..,..,..,..,..,..,..,84.6600036621094,..,73.7200012207031,..,..,..,..,..,75.6399993896484,..,..
Lao PDR,LAO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.9902800321579,2.82522010803223,..,2.41300010681152,2.4140899181366,2.95879006385803,3.07841992378235,2.27854990959167,1.65485000610352,1.70978999137878,1.70801997184753,1.82147002220154,3.23380994796753,2.93781995773315,2.73689787884215,2.77442976110388,2.49797261414021,2.33501229018316,2.12201393748998,1.91597273223857,1.85949176876536,1.46083440434069,1.23375160355741,..,..
Lao PDR,LAO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.94657039642334,15.2626600265503,..,15.8750801086426,14.1292695999146,17.7623596191406,18.1017894744873,13.0052099227905,7.46309995651245,7.24696016311646,8.2595796585083,7.36839008331299,13.341010093689,11.7573499679565,10.4693968971705,12.8905072664164,11.4389355996144,11.1683780140713,10.831620568327,10.6622210924187,11.5062064227785,9.82493417180385,9.80367188386072,8.24155131370129,..
Lao PDR,LAO,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,9.20525,..,..,..,..,..,..,7.56247,7.34751,7.98237,7.79207,14.51405,12.53244,..,..,..,..,..,..,..,..,..,..,..
Lao PDR,LAO,"Children out of school, primary",SE.PRM.UNER,205213,195839,175441,172805,166674,161206,139022,119624,100285,63159,60276,55859,36943,29481,35907,39411,47181,51275,50262,52166,53689,72541,73926,81506,82273
Lao PDR,LAO,"Children out of school, primary, female",SE.PRM.UNER.FE,114022,109723,99559,95959,92044,89690,77835,66964,55501,37482,34750,32607,22742,18532,21040,23607,26684,28985,28420,28641,28948,37289,37585,40714,40481
Lao PDR,LAO,"Children out of school, primary, male",SE.PRM.UNER.MA,91191,86116,75882,76846,74630,71516,61187,52660,44784,25677,25526,23252,14201,10949,14867,15804,20497,22290,21842,23525,24741,35252,36341,40792,41792
Lao PDR,LAO,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.813799977302551,0.816420018672943,0.821150004863739,0.828230023384094,0.83050000667572,0.839119970798492,0.846859991550446,0.857999980449677,0.869960010051727,0.881879985332489,0.894001066684723,0.904760003089905,0.914771437644959,0.927744090557098,0.937261164188385,0.938601553440094,0.944714486598969,0.948159754276276,0.951043486595154,0.956714570522308,0.963008999824524,..,..,..,..
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,320.316005439568,313.350817148131,355.097216151461,409.296298284117,466.061506997741,579.391947440719,697.323013673925,885.747376088762,935.03237283283,1125.91610151261,1361.54704394913,1563.5650771337,1812.51774424651,1981.03910900473,2121.01339097363,2303.22156035363,2432.43059478511,2545.1075420815,2589.32081035237,2583.77730696131,2526.05105018529,2046.40440255621,2066.94979776957,2123.97909415109,..
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.887,59.302,59.643,60.08,60.688,61.074,61.694,62.248,63.023,63.69,64.505,65.126,65.723,66.35,66.688,67.014,67.345,67.594,67.911,68.339,67.807,68.715,68.964,69.225,..
Lao PDR,LAO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.3728884682287,24.5247834668291,25.5945881340707,26.5371091732139,27.3224977292697,28.0378756242097,28.7343050001346,29.4034348148069,30.0420311503825,30.6468600890172,31.2146877128668,31.7422801040872,32.2264033448341,32.6638235172635,33.1240204432199,33.8267455533474,34.5115346444216,35.2050070032013,35.9072880879451,36.6185033569111,37.338778268357,38.0682382805397,38.8070088517156,39.5552154401406,..
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5521482,5610889,5697945,5781626,5869523,5963200,6056236,6148969,6241642,6334194,6426590,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819,..
